url,month,year,mmyy,filename,downloaded,download_time
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/JANUARY2022%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,JANUARY,2022,2022-01-31,/Users/tiangeng/Documents/Python Files/niv/niv_2022-01-31.pdf,True,"2023-06-23, Friday, 23:42:28"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/FEBRUARY%202022%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,FEBRUARY,2022,2022-02-28,/Users/tiangeng/Documents/Python Files/niv/niv_2022-02-28.pdf,True,"2023-06-23, Friday, 23:42:35"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/MARCH%202022%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,MARCH,2022,2022-03-31,/Users/tiangeng/Documents/Python Files/niv/niv_2022-03-31.pdf,True,"2023-06-23, Friday, 23:42:48"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/APRIL%202022%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,APRIL,2022,2022-04-30,/Users/tiangeng/Documents/Python Files/niv/niv_2022-04-30.pdf,True,"2023-06-23, Friday, 23:42:58"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/MAY%202022%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,MAY,2022,2022-05-31,/Users/tiangeng/Documents/Python Files/niv/niv_2022-05-31.pdf,True,"2023-06-23, Friday, 23:43:11"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/JUNE%202022%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,JUNE,2022,2022-06-30,/Users/tiangeng/Documents/Python Files/niv/niv_2022-06-30.pdf,True,"2023-06-23, Friday, 23:43:22"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/JULY%202022%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,JULY,2022,2022-07-31,/Users/tiangeng/Documents/Python Files/niv/niv_2022-07-31.pdf,True,"2023-06-23, Friday, 23:43:29"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/AUGUST%202022%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,AUGUST,2022,2022-08-31,/Users/tiangeng/Documents/Python Files/niv/niv_2022-08-31.pdf,True,"2023-06-23, Friday, 23:43:41"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/SEPTEMBER%202022%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,SEPTEMBER,2022,2022-09-30,/Users/tiangeng/Documents/Python Files/niv/niv_2022-09-30.pdf,True,"2023-06-23, Friday, 23:43:57"
https://travel.state.gov/content/dam/visas/Statistics/Non-Immigrant-Statistics/MonthlyNIVIssuances/OCTOBER%202022%20-%20NIV%20Issuances%20by%20Nationality%20and%20Visa%20Class.pdf,OCTOBER,2022,2022-10-31,/Users/tiangeng/Documents/Python Files/niv/niv_2022-10-31.pdf,True,"2023-06-23, Friday, 23:44:12"
